Author,Cancer,Cell Line,Coumarin,Dose,Time,Viability
Xinbing Zhu 2018,esophageal,KYSE510,Osthole,120.0,24,66.0
Xinbing Zhu 2018,esophageal,KYSE510,Osthole,160.0,24,52.4
Xinbing Zhu 2018,esophageal,KYSE510,Osthole,200.0,24,45.6
Xinbing Zhu 2018,esophageal,KYSE510,Osthole,240.0,24,35.5
Xinbing Zhu 2018,esophageal,KYSE510,Osthole,20.0,48,88.7
Xinbing Zhu 2018,esophageal,KYSE510,Osthole,40.0,48,83.7
Xinbing Zhu 2018,esophageal,KYSE510,Osthole,80.0,48,60.8
Xinbing Zhu 2018,esophageal,KYSE510,Osthole,120.0,48,47.3
Xinbing Zhu 2018,esophageal,KYSE510,Osthole,160.0,48,31.3
Xinbing Zhu 2018,esophageal,KYSE510,Osthole,200.0,48,19.4
Xinbing Zhu 2018,esophageal,KYSE510,Osthole,240.0,48,11.8
Xinbing Zhu 2018,esophageal,KYSE30,Osthole,20.0,24,97.5
Xinbing Zhu 2018,esophageal,KYSE30,Osthole,40.0,24,91.2
Xinbing Zhu 2018,esophageal,KYSE30,Osthole,80.0,24,83.7
Xinbing Zhu 2018,esophageal,KYSE30,Osthole,120.0,24,69.2
Xinbing Zhu 2018,esophageal,KYSE30,Osthole,160.0,24,64.6
Xinbing Zhu 2018,esophageal,KYSE30,Osthole,200.0,24,60.6
Xinbing Zhu 2018,esophageal,KYSE30,Osthole,240.0,24,50.2
Xinbing Zhu 2018,esophageal,KYSE30,Osthole,20.0,48,91.2
Xinbing Zhu 2018,esophageal,KYSE30,Osthole,40.0,48,86.0
Xinbing Zhu 2018,esophageal,KYSE30,Osthole,80.0,48,72.1
Xinbing Zhu 2018,esophageal,KYSE30,Osthole,120.0,48,54.2
Xinbing Zhu 2018,esophageal,KYSE30,Osthole,160.0,48,49.0
Xinbing Zhu 2018,esophageal,KYSE30,Osthole,200.0,48,38.1
Xinbing Zhu 2018,esophageal,KYSE30,Osthole,240.0,48,26.5
Xinbing Zhu 2018,esophageal,KYSE150,Osthole,20.0,24,93.5
Xinbing Zhu 2018,esophageal,KYSE150,Osthole,40.0,24,86.0
Xinbing Zhu 2018,esophageal,KYSE150,Osthole,80.0,24,73.8
Xinbing Zhu 2018,esophageal,KYSE150,Osthole,120.0,24,61.1
Xinbing Zhu 2018,esophageal,KYSE150,Osthole,160.0,24,53.1
Xinbing Zhu 2018,esophageal,KYSE150,Osthole,200.0,24,45.6
Xinbing Zhu 2018,esophageal,KYSE150,Osthole,240.0,24,39.2
Xinbing Zhu 2018,esophageal,KYSE150,Osthole,20.0,48,88.8
Xinbing Zhu 2018,esophageal,KYSE150,Osthole,40.0,48,73.3
Xinbing Zhu 2018,esophageal,KYSE150,Osthole,80.0,48,54.2
Xinbing Zhu 2018,esophageal,KYSE150,Osthole,120.0,48,42.1
Xinbing Zhu 2018,esophageal,KYSE150,Osthole,160.0,48,35.2
Xinbing Zhu 2018,esophageal,KYSE150,Osthole,200.0,48,28.8
Xinbing Zhu 2018,esophageal,KYSE150,Osthole,240.0,48,21.9
Wonhyoung Park 2019,breast,MCF-7,Osthole,5.0,48,79.0
Wonhyoung Park 2019,breast,MCF-7,Osthole,10.0,48,83.4
Wonhyoung Park 2019,breast,MCF-7,Osthole,20.0,48,69.7
Wonhyoung Park 2019,breast,MCF-7,Osthole,50.0,48,46.7
Wonhyoung Park 2019,breast,MCF-7,Osthole,100.0,48,30.2
Wonhyoung Park 2019,breast,BT-474,Osthole,5.0,48,89.1
Wonhyoung Park 2019,breast,BT-474,Osthole,10.0,48,101.3
Wonhyoung Park 2019,breast,BT-474,Osthole,20.0,48,83.4
Wonhyoung Park 2019,breast,BT-474,Osthole,50.0,48,48.9
Wonhyoung Park 2019,breast,BT-474,Osthole,100.0,48,41.7
Xinghua Zhou 2023,colon,HCT116,Osthole,25.0,24,95.2
Xinghua Zhou 2023,colon,HCT116,Osthole,50.0,24,90.7
Xinghua Zhou 2023,colon,HCT116,Osthole,100.0,24,85.1
Xinghua Zhou 2023,colon,HCT116,Osthole,200.0,24,76.0
Xinghua Zhou 2023,colon,HCT116,Osthole,25.0,48,85.6
Xinghua Zhou 2023,colon,HCT116,Osthole,50.0,48,74.4
Xinghua Zhou 2023,colon,HCT116,Osthole,100.0,48,64.8
Xinghua Zhou 2023,colon,HCT116,Osthole,200.0,48,54.6
Xinghua Zhou 2023,colon,HCT116,Osthole,25.0,72,72.1
Xinghua Zhou 2023,colon,HCT116,Osthole,50.0,72,52.4
Xinghua Zhou 2023,colon,HCT116,Osthole,100.0,72,34.9
Xinghua Zhou 2023,colon,HCT116,Osthole,200.0,72,25.9
Xinghua Zhou 2023,colon,SW480,Osthole,25.0,24,95.9
Xinghua Zhou 2023,colon,SW480,Osthole,50.0,24,84.7
Xinghua Zhou 2023,colon,SW480,Osthole,100.0,24,76.3
Xinghua Zhou 2023,colon,SW480,Osthole,200.0,24,58.9
Xinghua Zhou 2023,colon,SW480,Osthole,25.0,48,90.8
Xinghua Zhou 2023,colon,SW480,Osthole,50.0,48,69.5
Xinghua Zhou 2023,colon,SW480,Osthole,100.0,48,60.6
Xinghua Zhou 2023,colon,SW480,Osthole,200.0,48,43.7
Xinghua Zhou 2023,colon,SW480,Osthole,25.0,72,86.4
Xinghua Zhou 2023,colon,SW480,Osthole,50.0,72,61.1
Xinghua Zhou 2023,colon,SW480,Osthole,100.0,72,43.2
Xinghua Zhou 2023,colon,SW480,Osthole,200.0,72,35.9
Haitao Feng 2017,lung,A549,Osthole,5.0,48,96.6
Haitao Feng 2017,lung,A549,Osthole,10.0,48,92.9
Haitao Feng 2017,lung,A549,Osthole,20.0,48,89.3
Haitao Feng 2017,lung,A549,Osthole,40.0,48,76.5
Haitao Feng 2017,lung,A549,Osthole,80.0,48,44.9
XINGYANG ZHU 2017,cholangiocarcinoma,HCCC-9810,Osthole,25.0,24,93.2
XINGYANG ZHU 2017,cholangiocarcinoma,HCCC-9810,Osthole,50.0,24,84.3
XINGYANG ZHU 2017,cholangiocarcinoma,HCCC-9810,Osthole,100.0,24,76.6
XINGYANG ZHU 2017,cholangiocarcinoma,HCCC-9810,Osthole,150.0,24,67.7
XINGYANG ZHU 2017,cholangiocarcinoma,HCCC-9810,Osthole,200.0,24,43.4
XINGYANG ZHU 2017,cholangiocarcinoma,HCCC-9810,Osthole,25.0,48,90.6
XINGYANG ZHU 2017,cholangiocarcinoma,HCCC-9810,Osthole,50.0,48,83.0
XINGYANG ZHU 2017,cholangiocarcinoma,HCCC-9810,Osthole,100.0,48,72.7
XINGYANG ZHU 2017,cholangiocarcinoma,HCCC-9810,Osthole,150.0,48,61.3
XINGYANG ZHU 2017,cholangiocarcinoma,HCCC-9810,Osthole,200.0,48,29.4
XINGYANG ZHU 2017,cholangiocarcinoma,HCCC-9810,Osthole,25.0,72,84.3
XINGYANG ZHU 2017,cholangiocarcinoma,HCCC-9810,Osthole,50.0,72,74.0
XINGYANG ZHU 2017,cholangiocarcinoma,HCCC-9810,Osthole,100.0,72,67.7
XINGYANG ZHU 2017,cholangiocarcinoma,HCCC-9810,Osthole,150.0,72,52.3
XINGYANG ZHU 2017,cholangiocarcinoma,HCCC-9810,Osthole,200.0,72,20.4
XINGYANG ZHU 2017,cholangiocarcinoma,RBE,Osthole,25.0,24,94.5
XINGYANG ZHU 2017,cholangiocarcinoma,RBE,Osthole,50.0,24,86.8
XINGYANG ZHU 2017,cholangiocarcinoma,RBE,Osthole,100.0,24,76.6
XINGYANG ZHU 2017,cholangiocarcinoma,RBE,Osthole,150.0,24,68.9
XINGYANG ZHU 2017,cholangiocarcinoma,RBE,Osthole,200.0,24,51.1
XINGYANG ZHU 2017,cholangiocarcinoma,RBE,Osthole,25.0,48,93.2
XINGYANG ZHU 2017,cholangiocarcinoma,RBE,Osthole,50.0,48,81.7
XINGYANG ZHU 2017,cholangiocarcinoma,RBE,Osthole,100.0,48,72.8
XINGYANG ZHU 2017,cholangiocarcinoma,RBE,Osthole,150.0,48,62.6
XINGYANG ZHU 2017,cholangiocarcinoma,RBE,Osthole,200.0,48,26.8
XINGYANG ZHU 2017,cholangiocarcinoma,RBE,Osthole,25.0,72,88.1
XINGYANG ZHU 2017,cholangiocarcinoma,RBE,Osthole,50.0,72,80.4
XINGYANG ZHU 2017,cholangiocarcinoma,RBE,Osthole,100.0,72,68.9
XINGYANG ZHU 2017,cholangiocarcinoma,RBE,Osthole,150.0,72,48.5
XINGYANG ZHU 2017,cholangiocarcinoma,RBE,Osthole,200.0,72,17.9
Mengjie Huangfu 2020,cervical,Hela,Osthole,42.0,24,95.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,81.0,24,86.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,163.0,24,77.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,320.0,24,48.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,400.0,24,46.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,480.0,24,43.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,640.0,24,38.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,42.0,48,85.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,81.0,48,74.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,163.0,48,50.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,320.0,48,22.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,400.0,48,21.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,480.0,48,19.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,640.0,48,19.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,42.0,72,85.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,81.0,72,58.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,163.0,72,20.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,320.0,72,18.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,400.0,72,16.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,480.0,72,15.0
Mengjie Huangfu 2020,cervical,Hela,Osthole,640.0,72,14.5
AGATA JARZAB 2014,medulloblastoma,RK33,Osthole,10.0,72,100.0
AGATA JARZAB 2014,medulloblastoma,RK33,Osthole,25.0,72,98.0
AGATA JARZAB 2014,medulloblastoma,RK33,Osthole,50.0,72,88.0
AGATA JARZAB 2014,medulloblastoma,RK33,Osthole,100.0,72,46.0
Juan Wang 2022,cervical,Hela,Osthole,40.0,12,92.0
Juan Wang 2022,cervical,Hela,Osthole,80.0,12,87.0
Juan Wang 2022,cervical,Hela,Osthole,160.0,12,80.0
Juan Wang 2022,cervical,Hela,Osthole,200.0,12,72.0
Juan Wang 2022,cervical,Hela,Osthole,240.0,12,68.0
Juan Wang 2022,cervical,Hela,Osthole,320.0,12,62.0
Juan Wang 2022,cervical,Hela,Osthole,400.0,12,58.0
Juan Wang 2022,cervical,Hela,Osthole,480.0,12,51.0
Juan Wang 2022,cervical,Hela,Osthole,640.0,12,47.0
Juan Wang 2022,cervical,Hela,Osthole,40.0,18,87.0
Juan Wang 2022,cervical,Hela,Osthole,80.0,18,75.0
Juan Wang 2022,cervical,Hela,Osthole,160.0,18,64.0
Juan Wang 2022,cervical,Hela,Osthole,200.0,18,59.0
Juan Wang 2022,cervical,Hela,Osthole,240.0,18,55.0
Juan Wang 2022,cervical,Hela,Osthole,320.0,18,50.0
Juan Wang 2022,cervical,Hela,Osthole,400.0,18,45.0
Juan Wang 2022,cervical,Hela,Osthole,480.0,18,41.0
Juan Wang 2022,cervical,Hela,Osthole,640.0,18,37.0
Juan Wang 2022,cervical,Hela,Osthole,40.0,24,78.0
Juan Wang 2022,cervical,Hela,Osthole,80.0,24,63.0
Juan Wang 2022,cervical,Hela,Osthole,160.0,24,53.0
Juan Wang 2022,cervical,Hela,Osthole,200.0,24,43.0
Juan Wang 2022,cervical,Hela,Osthole,240.0,24,41.0
Juan Wang 2022,cervical,Hela,Osthole,320.0,24,38.0
Juan Wang 2022,cervical,Hela,Osthole,400.0,24,36.0
Juan Wang 2022,cervical,Hela,Osthole,480.0,24,31.0
Juan Wang 2022,cervical,Hela,Osthole,640.0,24,29.0
Pei Ying Liu 2017,nasopharyngeal,NPC-039,Osthole,10.0,24,96.0
Pei Ying Liu 2017,nasopharyngeal,NPC-039,Osthole,20.0,24,87.0
Pei Ying Liu 2017,nasopharyngeal,NPC-039,Osthole,40.0,24,90.0
Pei Ying Liu 2017,nasopharyngeal,NPC-039,Osthole,80.0,24,83.0
Pei Ying Liu 2017,nasopharyngeal,NPC-039,Osthole,10.0,48,96.0
Pei Ying Liu 2017,nasopharyngeal,NPC-039,Osthole,20.0,48,89.0
Pei Ying Liu 2017,nasopharyngeal,NPC-039,Osthole,40.0,48,67.0
Pei Ying Liu 2017,nasopharyngeal,NPC-039,Osthole,80.0,48,46.0
Pei Ying Liu 2017,nasopharyngeal,NPC-039,Osthole,10.0,72,101.0
Pei Ying Liu 2017,nasopharyngeal,NPC-039,Osthole,20.0,72,87.0
Pei Ying Liu 2017,nasopharyngeal,NPC-039,Osthole,40.0,72,53.0
Pei Ying Liu 2017,nasopharyngeal,NPC-039,Osthole,80.0,72,39.0
Pei Ying Liu 2017,nasopharyngeal,NPC-BM,Osthole,10.0,24,92.0
Pei Ying Liu 2017,nasopharyngeal,NPC-BM,Osthole,20.0,24,82.0
Pei Ying Liu 2017,nasopharyngeal,NPC-BM,Osthole,40.0,24,77.0
Pei Ying Liu 2017,nasopharyngeal,NPC-BM,Osthole,80.0,24,67.0
Pei Ying Liu 2017,nasopharyngeal,NPC-BM,Osthole,10.0,48,87.0
Pei Ying Liu 2017,nasopharyngeal,NPC-BM,Osthole,20.0,48,71.0
Pei Ying Liu 2017,nasopharyngeal,NPC-BM,Osthole,40.0,48,50.0
Pei Ying Liu 2017,nasopharyngeal,NPC-BM,Osthole,80.0,48,47.0
Pei Ying Liu 2017,nasopharyngeal,NPC-BM,Osthole,10.0,72,80.0
Pei Ying Liu 2017,nasopharyngeal,NPC-BM,Osthole,20.0,72,36.0
Pei Ying Liu 2017,nasopharyngeal,NPC-BM,Osthole,40.0,72,14.0
Pei Ying Liu 2017,nasopharyngeal,NPC-BM,Osthole,80.0,72,13.0
Lurong Zhang 2012,liver,SK-HP-1,Osthole,20.5,48,97.5
Lurong Zhang 2012,liver,SK-HP-1,Osthole,41.0,48,94.4
Lurong Zhang 2012,liver,SK-HP-1,Osthole,82.0,48,86.0
Lurong Zhang 2012,liver,SK-HP-1,Osthole,123.0,48,69.0
Lurong Zhang 2012,liver,SK-HP-1,Osthole,164.0,48,58.0
Lurong Zhang 2012,liver,SK-HP-1,Osthole,205.0,48,44.0
Lurong Zhang 2012,liver,SMMC-7721,Osthole,20.5,48,97.0
Lurong Zhang 2012,liver,SMMC-7721,Osthole,41.0,48,95.0
Lurong Zhang 2012,liver,SMMC-7721,Osthole,82.0,48,82.0
Lurong Zhang 2012,liver,SMMC-7721,Osthole,123.0,48,66.0
Lurong Zhang 2012,liver,SMMC-7721,Osthole,164.0,48,45.0
Lurong Zhang 2012,liver,SMMC-7721,Osthole,205.0,48,37.0
Lurong Zhang 2012,liver,SMMC-7721,Osthole,20.5,24,100.0
Lurong Zhang 2012,liver,SMMC-7721,Osthole,41.0,24,98.3
Lurong Zhang 2012,liver,SMMC-7721,Osthole,82.0,24,96.2
Lurong Zhang 2012,liver,SMMC-7721,Osthole,123.0,24,81.7
Lurong Zhang 2012,liver,SMMC-7721,Osthole,164.0,24,79.0
Lurong Zhang 2012,liver,SMMC-7721,Osthole,205.0,24,65.0
Lurong Zhang 2012,liver,SMMC-7721,Osthole,20.5,72,76.0
Lurong Zhang 2012,liver,SMMC-7721,Osthole,41.0,72,67.0
Lurong Zhang 2012,liver,SMMC-7721,Osthole,82.0,72,44.2
Lurong Zhang 2012,liver,SMMC-7721,Osthole,123.0,72,12.8
Lurong Zhang 2012,liver,SMMC-7721,Osthole,164.0,72,10.0
Lurong Zhang 2012,liver,SMMC-7721,Osthole,205.0,72,8.0
Lurong Zhang 2012,liver,HepG-2,Osthole,20.5,48,96.0
Lurong Zhang 2012,liver,HepG-2,Osthole,41.0,48,86.5
Lurong Zhang 2012,liver,HepG-2,Osthole,82.0,48,73.6
Lurong Zhang 2012,liver,HepG-2,Osthole,123.0,48,62.0
Lurong Zhang 2012,liver,HepG-2,Osthole,164.0,48,50.0
Lurong Zhang 2012,liver,HepG-2,Osthole,205.0,48,36.0
Lintao Wang 2015,breast,MDA-MB 435,Osthole,20.0,24,96.1
Lintao Wang 2015,breast,MDA-MB 435,Osthole,40.0,24,94.1
Lintao Wang 2015,breast,MDA-MB 435,Osthole,60.0,24,92.8
Lintao Wang 2015,breast,MDA-MB 435,Osthole,80.0,24,82.0
Lintao Wang 2015,breast,MDA-MB 435,Osthole,100.0,24,76.0
Lintao Wang 2015,breast,MDA-MB 435,Osthole,20.0,36,93.1
Lintao Wang 2015,breast,MDA-MB 435,Osthole,40.0,36,89.3
Lintao Wang 2015,breast,MDA-MB 435,Osthole,60.0,36,84.8
Lintao Wang 2015,breast,MDA-MB 435,Osthole,80.0,36,80.5
Lintao Wang 2015,breast,MDA-MB 435,Osthole,100.0,36,62.3
Lintao Wang 2015,breast,MDA-MB 435,Osthole,20.0,48,92.3
Lintao Wang 2015,breast,MDA-MB 435,Osthole,40.0,48,87.5
Lintao Wang 2015,breast,MDA-MB 435,Osthole,60.0,48,79.8
Lintao Wang 2015,breast,MDA-MB 435,Osthole,80.0,48,64.5
Lintao Wang 2015,breast,MDA-MB 435,Osthole,100.0,48,44.9
Yue-qiang Chen 2022,breast,MDA-MB-231,Osthole,20.47,24,91.4
Yue-qiang Chen 2022,breast,MDA-MB-231,Osthole,40.94,24,82.8
Yue-qiang Chen 2022,breast,MDA-MB-231,Osthole,102.34,24,80.0
Yue-qiang Chen 2022,breast,MDA-MB-231,Osthole,20.47,48,66.6
Yue-qiang Chen 2022,breast,MDA-MB-231,Osthole,40.94,48,51.2
Yue-qiang Chen 2022,breast,MDA-MB-231,Osthole,102.34,48,41.0
Yue-qiang Chen 2022,breast,MDA-MB-231BO,Osthole,20.47,24,76.9
Yue-qiang Chen 2022,breast,MDA-MB-231BO,Osthole,40.94,24,76.9
Yue-qiang Chen 2022,breast,MDA-MB-231BO,Osthole,102.34,24,69.2
Yue-qiang Chen 2022,breast,MDA-MB-231BO,Osthole,20.47,48,62.9
Yue-qiang Chen 2022,breast,MDA-MB-231BO,Osthole,40.94,48,64.8
Yue-qiang Chen 2022,breast,MDA-MB-231BO,Osthole,102.34,48,50.0
Yue-qiang Chen 2022,breast,MCF-7,Osthole,20.47,24,94.1
Yue-qiang Chen 2022,breast,MCF-7,Osthole,40.94,24,88.2
Yue-qiang Chen 2022,breast,MCF-7,Osthole,102.34,24,82.3
Yue-qiang Chen 2022,breast,MCF-7,Osthole,20.47,48,97.6
Yue-qiang Chen 2022,breast,MCF-7,Osthole,40.94,48,92.8
Yue-qiang Chen 2022,breast,MCF-7,Osthole,102.34,48,88.0
Xing-Hua Zhou 2021,colon,HT‑29,Osthole,25.0,24,89.0
Xing-Hua Zhou 2021,colon,HT‑29,Osthole,50.0,24,76.0
Xing-Hua Zhou 2021,colon,HT‑29,Osthole,100.0,24,67.7
Xu Chao2014,liver,HepG2,Osthole,4.0,24,76.0
Xu Chao2014,liver,HepG2,Osthole,20.0,24,58.0
Xu Chao2014,liver,HepG2,Osthole,500.0,24,13.0
Xu Chao2014,liver,HepG2,Osthole,1000.0,24,5.0
Xu Chao2014,liver,HepG2,Osthole,4.0,48,66.0
Xu Chao2014,liver,HepG2,Osthole,20.0,48,40.0
Xu Chao2014,liver,HepG2,Osthole,500.0,48,5.0
Xu Chao2014,liver,HepG2,Osthole,1000.0,48,2.0
Xu Chao2014,liver,HepG2,Osthole,4.0,72,40.0
Xu Chao2014,liver,HepG2,Osthole,20.0,72,23.0
Xu Chao2014,liver,HepG2,Osthole,500.0,72,3.0
Xu Chao2014,liver,HepG2,Osthole,1000.0,72,2.0
Lei Liu 2017,renal,ACHN,Osthole,20.0,24,97.0
Lei Liu 2017,renal,ACHN,Osthole,40.0,24,94.0
Lei Liu 2017,renal,ACHN,Osthole,80.0,24,85.0
Lei Liu 2017,renal,ACHN,Osthole,120.0,24,64.0
Lei Liu 2017,renal,ACHN,Osthole,160.0,24,51.0
Lei Liu 2017,renal,ACHN,Osthole,200.0,24,43.0
Lei Liu 2017,renal,ACHN,Osthole,240.0,24,30.0
Lei Liu 2017,renal,ACHN,Osthole,20.0,48,96.0
Lei Liu 2017,renal,ACHN,Osthole,40.0,48,90.0
Lei Liu 2017,renal,ACHN,Osthole,80.0,48,65.0
Lei Liu 2017,renal,ACHN,Osthole,120.0,48,41.0
Lei Liu 2017,renal,ACHN,Osthole,160.0,48,37.0
Lei Liu 2017,renal,ACHN,Osthole,200.0,48,27.0
Lei Liu 2017,renal,ACHN,Osthole,240.0,48,17.0
Lei Liu 2017,renal,786-O,Osthole,20.0,24,96.0
Lei Liu 2017,renal,786-O,Osthole,40.0,24,92.0
Lei Liu 2017,renal,786-O,Osthole,80.0,24,78.0
Lei Liu 2017,renal,786-O,Osthole,120.0,24,62.0
Lei Liu 2017,renal,786-O,Osthole,160.0,24,54.0
Lei Liu 2017,renal,786-O,Osthole,200.0,24,45.0
Lei Liu 2017,renal,786-O,Osthole,240.0,24,38.0
Lei Liu 2017,renal,786-O,Osthole,20.0,48,94.0
Lei Liu 2017,renal,786-O,Osthole,40.0,48,78.0
Lei Liu 2017,renal,786-O,Osthole,80.0,48,65.0
Lei Liu 2017,renal,786-O,Osthole,120.0,48,50.0
Lei Liu 2017,renal,786-O,Osthole,160.0,48,40.0
Lei Liu 2017,renal,786-O,Osthole,200.0,48,26.0
Lei Liu 2017,renal,786-O,Osthole,240.0,48,18.0
Yiyi Ye 2013,breast,MDA-MB-231,Osthole,24.0,24,80.0
Yiyi Ye 2013,breast,MDA-MB-231,Osthole,27.0,24,66.0
Yiyi Ye 2013,breast,MDA-MB-231,Osthole,37.0,24,50.0
Yiyi Ye 2013,breast,MDA-MB-231,Osthole,53.0,24,8.0
Yiyi Ye 2013,breast,MDA-MB-231,Osthole,84.0,24,7.0
Sugai Yin 2021,cervical,HeLa,Osthole,409.37,24,86.5
Sugai Yin 2021,cervical,HeLa,Osthole,818.73,24,65.25
Sugai Yin 2021,cervical,HeLa,Osthole,1637.47,24,45.75
Sugai Yin 2021,cervical,HeLa,Osthole,409.37,48,61.0
Sugai Yin 2021,cervical,HeLa,Osthole,818.73,48,41.5
Sugai Yin 2021,cervical,HeLa,Osthole,1637.47,48,23.0
Sugai Yin 2021,cervical,HeLa,Osthole,409.37,72,41.0
Sugai Yin 2021,cervical,HeLa,Osthole,818.73,72,23.0
Sugai Yin 2021,cervical,HeLa,Osthole,1637.47,72,10.0
Lu Wang 2016,bone,MG-63,Osthole,25.0,12,80.0
Lu Wang 2016,bone,MG-63,Osthole,50.0,12,62.0
Lu Wang 2016,bone,MG-63,Osthole,100.0,12,43.0
Lu Wang 2016,bone,MG-63,Osthole,150.0,12,38.0
Lu Wang 2016,bone,MG-63,Osthole,200.0,12,36.0
Lu Wang 2016,bone,MG-63,Osthole,25.0,24,78.0
Lu Wang 2016,bone,MG-63,Osthole,50.0,24,60.0
Lu Wang 2016,bone,MG-63,Osthole,100.0,24,43.0
Lu Wang 2016,bone,MG-63,Osthole,150.0,24,34.0
Lu Wang 2016,bone,MG-63,Osthole,200.0,24,32.0
Lu Wang 2016,bone,MG-63,Osthole,25.0,48,88.0
Lu Wang 2016,bone,MG-63,Osthole,50.0,48,57.0
Lu Wang 2016,bone,MG-63,Osthole,100.0,48,37.0
Lu Wang 2016,bone,MG-63,Osthole,150.0,48,31.0
Lu Wang 2016,bone,MG-63,Osthole,200.0,48,23.0
Lu Wang 2016,bone,SaOS-2,Osthole,25.0,12,88.0
Lu Wang 2016,bone,SaOS-2,Osthole,50.0,12,70.0
Lu Wang 2016,bone,SaOS-2,Osthole,100.0,12,60.0
Lu Wang 2016,bone,SaOS-2,Osthole,150.0,12,52.0
Lu Wang 2016,bone,SaOS-2,Osthole,200.0,12,30.0
Lu Wang 2016,bone,SaOS-2,Osthole,25.0,24,60.0
Lu Wang 2016,bone,SaOS-2,Osthole,50.0,24,43.0
Lu Wang 2016,bone,SaOS-2,Osthole,100.0,24,33.0
Lu Wang 2016,bone,SaOS-2,Osthole,150.0,24,30.0
Lu Wang 2016,bone,SaOS-2,Osthole,200.0,24,36.0
Lu Wang 2016,bone,SaOS-2,Osthole,25.0,48,62.0
Lu Wang 2016,bone,SaOS-2,Osthole,50.0,48,38.0
Lu Wang 2016,bone,SaOS-2,Osthole,100.0,48,26.0
Lu Wang 2016,bone,SaOS-2,Osthole,150.0,48,23.0
Lu Wang 2016,bone,SaOS-2,Osthole,200.0,48,18.0
Yalda Shokoohinia 2014,prostate,PC3,Osthole,3.0,24,89.0
Yalda Shokoohinia 2014,prostate,PC3,Osthole,15.0,24,73.0
Yalda Shokoohinia 2014,prostate,PC3,Osthole,30.0,24,64.0
Yalda Shokoohinia 2014,prostate,PC3,Osthole,60.0,24,56.0
Yalda Shokoohinia 2014,prostate,PC3,Osthole,120.0,24,58.0
Yalda Shokoohinia 2014,prostate,PC3,Osthole,240.0,24,55.0
Yalda Shokoohinia 2014,prostate,PC3,Osthole,300.0,24,47.0
Yalda Shokoohinia 2014,lung,H1299,Osthole,3.0,24,114.0
Yalda Shokoohinia 2014,lung,H1299,Osthole,15.0,24,107.0
Yalda Shokoohinia 2014,lung,H1299,Osthole,30.0,24,104.0
Yalda Shokoohinia 2014,lung,H1299,Osthole,60.0,24,70.0
Yalda Shokoohinia 2014,lung,H1299,Osthole,120.0,24,66.0
Yalda Shokoohinia 2014,lung,H1299,Osthole,240.0,24,64.0
Yalda Shokoohinia 2014,lung,H1299,Osthole,300.0,24,58.0
Jing Liang 2020,ovarian,A2780,Osthole,10.0,24,88.0
Jing Liang 2020,ovarian,A2780,Osthole,20.0,24,82.0
Jing Liang 2020,ovarian,A2780,Osthole,30.0,24,77.0
Jing Liang 2020,ovarian,A2780,Osthole,40.0,24,75.0
Jing Liang 2020,ovarian,A2780,Osthole,50.0,24,66.0
Jing Liang 2020,ovarian,A2780,Osthole,60.0,24,57.0
Jing Liang 2020,ovarian,A2780,Osthole,70.0,24,54.0
Jing Liang 2020,ovarian,A2780,Osthole,80.0,24,34.0
Jing Liang 2020,ovarian,OVCAR3,Osthole,10.0,24,81.0
Jing Liang 2020,ovarian,OVCAR3,Osthole,20.0,24,65.0
Jing Liang 2020,ovarian,OVCAR3,Osthole,30.0,24,64.0
Jing Liang 2020,ovarian,OVCAR3,Osthole,40.0,24,59.0
Jing Liang 2020,ovarian,OVCAR3,Osthole,50.0,24,56.0
Jing Liang 2020,ovarian,OVCAR3,Osthole,60.0,24,47.0
Jing Liang 2020,ovarian,OVCAR3,Osthole,70.0,24,47.0
Jing Liang 2020,ovarian,OVCAR3,Osthole,80.0,24,40.0
Hui Huang 2022,liver,HCC-LM3,Osthole,1.0,24,95.0
Hui Huang 2022,liver,HCC-LM3,Osthole,3.0,24,85.0
Hui Huang 2022,liver,HCC-LM3,Osthole,10.0,24,71.0
Hui Huang 2022,liver,HCC-LM3,Osthole,30.0,24,60.0
Hui Huang 2022,liver,HCC-LM3,Osthole,1.0,48,92.0
Hui Huang 2022,liver,HCC-LM3,Osthole,3.0,48,75.0
Hui Huang 2022,liver,HCC-LM3,Osthole,10.0,48,68.0
Hui Huang 2022,liver,HCC-LM3,Osthole,30.0,48,59.0
JIA Min2016,bone,SaOS-2,Osthole,0.0,24,105.0
